,PlayerID,PlayerTypeID,ClubID,DateStarted
21533,197425,2,22,2021-01-01
21606,252944,2,22,2021-01-01
21656,252820,2,22,2021-01-01
21681,202539,1,22,2021-01-01
21714,233266,2,22,2021-01-01
21753,171513,1,22,2021-01-01
21820,285201,1,22,2021-01-01
21891,235485,3,23,2021-01-01
21974,203329,3,23,2021-01-01
22070,304374,3,23,2021-01-01
22118,256210,3,9,2021-01-01
22125,256210,3,15,2021-01-01
22143,256210,3,23,2021-01-01
22197,88374,3,23,2021-01-01
22281,228390,2,23,2021-01-01
22357,189531,2,29,2021-01-01
22362,189531,2,23,2021-01-01
22418,156215,2,6,2021-01-01
22431,156215,2,23,2021-01-01
22479,183792,2,23,2021-01-01
22514,183792,2,16,2021-01-01
22535,172605,2,23,2021-01-01
22601,295620,2,23,2021-01-01
22644,205657,2,23,2021-01-01
22698,199822,1,23,2021-01-01
22730,256450,1,23,2021-01-01
22748,256450,1,12,2021-01-01
22765,303458,2,23,2021-01-01
22766,229876,3,25,2021-01-01
22844,210438,3,24,2021-01-01
22847,210438,3,25,2021-01-01
22894,231150,3,25,2021-01-01
22987,200839,3,25,2021-01-01
23052,207238,2,25,2021-01-01
23101,117864,2,25,2021-01-01
23127,73200,2,25,2021-01-01
23231,251806,2,25,2021-01-01
23331,246337,2,25,2021-01-01
23395,182138,2,10,2021-01-01
23401,182138,2,14,2021-01-01
23411,182138,2,17,2021-01-01
23417,182138,2,25,2021-01-01
23459,227441,2,25,2021-01-01
23515,227441,2,21,2021-01-01
23541,201581,2,25,2021-01-01
23595,251805,1,25,2021-01-01
23678,251805,1,22,2021-01-01
23689,273768,1,25,2021-01-01
23705,302893,1,25,2021-01-01
23752,285698,1,25,2021-01-01
23803,240101,2,6,2021-01-01
23830,240101,2,1,2021-01-01
23861,252825,3,6,2021-01-01
23922,252825,3,26,2021-01-01
23934,113752,3,6,2021-01-01
23989,113752,3,5,2021-01-01
24016,163238,3,6,2021-01-01
24057,163238,3,9,2021-01-01
