MatchClubPlayerID,PlayerTypeID,Goals,Assists,Fouls,Offsides,Shots,ShotsOnTarget,YellowCards,RedCards
275,1,0,0,0,0,0,0,0,0
277,3,0,0,3,0,0,0,0,0
278,3,0,0,0,0,2,0,0,0
279,3,0,0,1,0,2,0,0,0
280,2,0,0,2,0,2,0,0,0
281,2,0,0,2,0,2,2,1,0
282,2,0,0,2,0,1,1,0,0
283,2,0,0,2,0,1,0,1,0
284,2,0,0,2,0,1,0,1,0
285,1,0,0,1,2,3,2,0,0
286,2,0,0,0,0,1,0,0,0
288,3,0,0,0,0,0,0,0,0
289,3,0,0,0,1,0,0,0,0
290,3,0,0,0,0,2,1,0,0
291,3,0,0,0,0,0,0,0,0
292,2,0,0,0,0,2,1,1,0
293,2,0,0,3,0,0,0,0,0
294,2,0,0,1,0,1,1,0,0
295,1,0,0,1,1,1,0,0,0
296,1,0,0,1,0,0,0,0,0
297,2,0,0,3,0,0,0,0,0
298,1,0,0,0,0,0,0,0,0
299,2,0,0,0,0,0,0,0,0
300,3,0,0,0,0,0,0,0,0
301,2,0,0,0,0,0,0,0,0
303,3,0,0,0,0,0,0,0,0
304,3,0,0,0,0,0,0,0,0
305,3,0,0,0,0,0,0,0,0
308,3,0,1,0,0,0,0,0,0
309,3,0,0,0,0,0,0,0,0
310,3,0,0,2,0,0,0,0,0
311,2,0,0,1,0,1,0,1,0
312,1,1,0,1,0,1,1,0,0
313,2,0,0,0,1,0,0,0,0
314,2,0,0,1,0,0,0,1,0
315,1,0,1,1,0,0,0,0,0
316,1,1,0,3,1,1,1,1,0
317,2,1,0,2,0,5,2,0,0
319,3,0,0,1,0,2,1,0,0
320,3,0,0,2,0,0,0,1,0
321,3,0,0,3,0,2,1,0,0
322,3,1,0,0,0,1,1,0,0
323,2,0,0,1,0,2,0,0,0
324,2,0,0,3,0,0,0,0,0
325,2,0,0,0,0,3,0,0,0
326,1,1,1,2,0,5,3,0,0
327,2,1,0,3,0,2,1,1,0
328,2,0,1,2,0,0,0,0,0
329,3,0,0,0,0,0,0,0,0
330,2,0,0,0,0,0,0,0,0
331,1,0,0,0,0,0,0,0,0
332,3,0,0,0,0,0,0,0,0
334,3,0,0,0,0,0,0,0,0
335,1,0,0,0,0,0,0,0,0
336,3,0,0,0,0,0,0,0,0
337,3,0,0,0,0,0,0,0,0
338,2,0,0,0,0,0,0,0,0
339,3,0,0,0,0,0,0,0,0
342,3,0,0,2,0,0,0,0,0
343,3,0,0,0,0,0,0,0,0
344,3,0,0,0,0,0,0,0,0
345,3,0,0,0,0,2,0,0,0
346,2,0,0,2,0,0,0,0,0
347,2,0,0,0,0,2,1,0,0
348,2,0,0,3,0,0,0,0,0
349,1,0,0,1,0,2,1,0,0
350,1,0,0,1,0,4,1,0,0
351,1,0,0,2,0,3,1,0,0
353,3,0,0,1,0,2,1,0,0
354,3,0,0,1,0,0,0,1,0
355,3,0,0,1,0,0,0,1,0
356,2,0,0,1,0,2,0,0,0
357,2,0,1,1,0,0,0,0,0
358,2,0,0,0,0,0,0,0,0
359,1,0,0,0,0,2,0,0,0
360,1,0,0,1,0,1,0,0,0
361,1,0,0,1,0,1,0,0,0
362,1,1,0,2,1,4,1,0,0
363,1,0,0,0,0,0,0,0,0
364,1,0,0,0,0,0,0,0,0
366,3,0,0,0,0,0,0,0,0
367,3,0,0,0,0,0,0,0,0
370,3,0,0,0,0,0,0,0,0
372,3,0,0,0,0,1,0,0,0
373,3,0,0,1,1,1,0,0,0
374,3,0,0,2,0,1,1,0,0
375,2,0,0,1,0,2,1,0,0
376,2,0,0,2,0,2,1,0,0
377,2,0,0,0,0,0,0,0,0
378,1,0,0,0,0,2,0,0,0
379,1,2,0,2,0,5,2,0,0
380,1,0,0,3,0,0,0,0,0
382,3,0,0,1,0,0,0,1,0
383,3,0,0,1,0,0,0,0,0
384,3,0,0,1,0,0,0,0,0
385,3,0,0,1,0,1,0,0,0
386,2,0,0,2,0,0,0,1,0
387,2,0,0,4,0,0,0,0,0
388,2,1,0,0,0,1,1,0,0
389,2,0,0,1,0,1,0,0,0
390,2,0,0,1,0,2,1,0,0
391,1,0,0,1,1,1,0,0,0
392,1,0,0,0,0,0,0,0,0
393,3,0,0,0,0,0,0,0,0
395,1,0,0,0,0,0,0,0,0
396,3,0,0,0,0,0,0,0,0
399,3,0,0,0,0,0,0,0,0
401,3,0,0,1,0,0,0,0,1
402,3,0,0,1,0,1,0,0,0
403,3,0,0,1,0,0,0,0,0
404,3,0,0,2,0,0,0,0,1
405,2,0,0,0,0,1,0,0,0
406,2,0,0,0,0,1,0,0,0
407,2,0,0,1,0,0,0,0,0
408,1,0,0,0,1,2,0,0,0
409,1,0,0,0,1,2,0,0,0
410,2,0,0,0,0,0,0,0,0
412,3,0,0,1,0,0,0,1,0
413,3,0,0,0,0,0,0,0,0
414,3,0,0,1,0,0,0,0,0
415,2,0,0,1,0,1,0,0,0
416,2,0,0,1,0,1,0,1,0
417,2,0,0,1,0,1,1,0,0
418,3,0,1,0,1,0,0,0,0
419,1,1,0,3,1,3,1,1,0
420,3,0,0,0,0,0,0,0,0
421,2,1,0,1,0,1,1,0,0
422,2,0,0,0,0,0,0,0,0
423,2,0,0,0,0,0,0,0,0
424,2,0,0,0,0,0,0,0,0
427,3,0,0,0,0,0,0,0,0
429,1,0,0,0,0,0,0,0,0
430,2,0,0,0,0,0,0,0,0
431,3,0,0,0,0,0,0,0,0
433,3,0,0,1,0,0,0,0,0
434,3,0,0,2,0,0,0,0,0
435,3,1,0,1,1,1,1,0,0
436,3,0,0,1,2,0,0,0,0
437,2,0,1,0,0,5,3,1,0
438,2,0,0,3,0,4,1,1,0
439,2,0,0,0,0,1,0,0,0
440,1,1,0,2,1,3,1,0,0
441,1,0,0,1,0,1,0,0,0
442,2,0,0,0,0,4,0,0,0
444,3,0,0,3,0,0,0,0,0
445,3,0,0,1,0,1,0,0,0
446,2,0,0,2,0,1,0,1,0
447,3,1,0,0,1,1,1,1,0
448,3,0,0,0,0,1,0,0,0
449,2,0,0,0,0,1,0,1,0
450,2,0,0,0,0,1,0,1,0
451,2,0,0,0,0,1,1,0,0
452,1,0,0,1,0,3,1,1,0
453,2,0,0,0,1,1,0,0,0
454,2,0,0,0,0,0,0,0,0
455,2,0,0,0,0,0,0,0,0
456,3,0,0,0,0,0,0,0,0
458,3,0,0,0,0,0,0,0,0
459,2,0,0,0,0,0,0,0,0
460,2,0,0,0,0,0,0,0,0
461,2,0,0,0,0,0,0,0,0
462,1,0,0,0,0,0,0,0,0
463,3,0,0,0,0,0,0,0,0
464,1,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0
466,3,0,0,0,0,0,0,0,0
467,1,0,0,0,0,0,0,0,0
469,3,0,0,1,0,0,0,0,0
470,3,0,0,0,0,0,0,0,0
471,3,0,0,2,0,1,0,0,0
472,3,0,0,1,1,1,0,0,0
473,2,0,0,1,0,2,0,0,0
474,2,0,0,1,0,0,0,1,0
475,2,0,0,5,0,0,0,1,0
476,1,1,0,1,0,3,1,0,0
477,2,0,0,1,0,0,0,0,0
478,2,0,1,2,0,1,0,0,0
480,3,0,0,0,0,0,0,0,0
481,3,0,0,2,0,0,0,1,0
482,3,0,0,0,1,0,0,0,0
483,3,0,0,1,0,0,0,1,0
484,2,0,0,0,0,2,0,0,0
485,2,0,0,1,1,0,0,0,0
486,2,0,0,1,0,0,0,0,0
487,1,0,0,4,0,0,0,0,0
488,2,0,0,2,0,0,0,0,0
489,1,0,0,1,0,1,0,0,0
491,2,0,0,0,0,0,0,0,0
492,3,0,0,0,0,0,0,0,0
493,2,0,0,0,0,0,0,0,0
495,3,0,0,0,0,0,0,0,0
496,2,0,0,0,0,0,0,0,0
497,3,0,0,0,0,0,0,0,0
499,3,0,0,1,0,0,0,0,0
500,3,0,0,0,0,1,0,0,0
501,3,0,0,2,0,1,0,0,0
502,3,0,1,0,0,0,0,0,0
503,2,1,1,2,0,2,1,1,0
